iter	Passed	Remaining
455	987	1178
456	990	1176
457	992	1174
458	994	1172
459	996	1169
460	998	1167
461	999	1164
462	1001	1162
463	1003	1159
464	1006	1157
465	1008	1155
466	1009	1152
467	1011	1149
468	1013	1147
469	1017	1146
470	1019	1144
471	1020	1141
472	1022	1139
473	1025	1138
474	1027	1135
475	1029	1133
476	1031	1130
477	1033	1128
478	1034	1125
479	1036	1123
480	1038	1120
481	1040	1118
482	1041	1115
483	1044	1113
484	1048	1113
485	1051	1111
486	1052	1109
487	1054	1106
488	1056	1103
489	1059	1102
490	1060	1099
491	1062	1097
492	1064	1094
493	1066	1092
494	1069	1091
495	1072	1089
496	1074	1087
497	1076	1085
498	1078	1082
499	1081	1081
500	1083	1078
501	1085	1076
502	1086	1074
503	1091	1074
504	1092	1071
505	1094	1068
506	1096	1066
507	1098	1063
508	1100	1061
509	1102	1059
510	1104	1057
511	1106	1054
512	1107	1051
513	1109	1049
514	1111	1046
515	1113	1044
516	1115	1042
517	1116	1039
518	1118	1036
519	1120	1034
520	1122	1031
521	1123	1029
522	1126	1027
523	1128	1025
524	1130	1022
525	1131	1020
526	1133	1017
527	1135	1014
528	1136	1011
529	1138	1009
530	1140	1007
531	1141	1004
532	1143	1001
533	1145	999
534	1147	997
535	1148	994
536	1152	993
537	1154	991
538	1155	988
539	1157	986
540	1159	983
541	1162	982
542	1164	980
543	1165	977
544	1167	974
545	1169	972
546	1171	969
547	1172	967
548	1174	964
549	1175	961
550	1177	959
551	1178	956
552	1180	953
553	1181	951
554	1183	948
555	1184	945
556	1186	943
557	1188	941
558	1189	938
559	1191	935
560	1195	935
561	1202	936
562	1211	940
563	1220	943
564	1223	942
565	1226	940
566	1228	938
567	1231	936
568	1232	933
569	1236	933
570	1241	933
571	1244	931
572	1246	928
573	1248	926
574	1249	923
575	1251	921
576	1253	918
577	1256	917
578	1258	914
579	1259	912
580	1262	910
581	1263	907
582	1265	905
583	1267	902
584	1268	900
585	1270	897
586	1272	895
587	1274	893
588	1276	890
589	1278	888
590	1280	886
591	1281	883
592	1284	881
593	1285	878
594	1287	876
595	1289	873
596	1291	871
597	1293	869
598	1295	867
599	1297	865
600	1299	862
601	1301	860
602	1302	857
603	1304	855
604	1306	852
605	1308	850
606	1310	848
607	1311	845
608	1318	846
609	1326	847
610	1329	846
611	1334	846
612	1336	843
613	1338	841
614	1341	839
615	1343	837
616	1344	834
617	1346	832
618	1347	829
619	1350	827
620	1352	825
621	1353	822
622	1355	820
623	1358	818
624	1359	815
625	1361	813
626	1363	810
627	1364	808
628	1366	805
629	1368	803
630	1369	801
631	1371	798
632	1381	800
633	1382	798
634	1384	795
635	1389	795
636	1391	792
637	1393	790
638	1394	787
639	1396	785
640	1398	783
641	1400	781
642	1403	778
643	1405	776
644	1407	774
645	1409	772
646	1410	769
647	1413	767
648	1415	765
649	1417	763
650	1420	761
651	1422	759
652	1424	756
653	1425	754
654	1427	751
655	1428	749
656	1430	746
657	1433	744
658	1435	742
659	1436	740
660	1438	737
661	1440	735
662	1442	733
663	1444	730
664	1446	728
665	1447	726
666	1449	723
667	1451	721
668	1452	718
669	1455	716
670	1457	714
671	1458	712
672	1460	709
673	1461	707
674	1463	704
675	1465	702
676	1469	700
677	1470	698
678	1473	696
679	1475	694
680	1476	691
681	1478	689
682	1480	687
683	1482	684
684	1483	682
685	1486	680
686	1488	678
687	1489	675
688	1491	673
689	1493	670
690	1495	668
691	1497	666
692	1498	663
693	1500	661
694	1502	659
695	1503	656
696	1505	654
697	1507	652
698	1509	649
699	1510	647
700	1512	645
701	1515	643
702	1517	640
703	1521	639
704	1522	637
705	1524	634
706	1526	632
707	1528	630
708	1530	628
709	1532	625
710	1534	623
711	1536	621
712	1538	619
713	1540	616
714	1541	614
715	1543	612
716	1546	610
717	1548	608
718	1550	605
719	1552	603
720	1553	601
721	1555	598
722	1556	596
723	1558	594
724	1559	591
725	1561	589
726	1563	587
727	1566	585
728	1567	582
729	1570	580
730	1571	578
731	1573	576
732	1575	573
733	1577	571
734	1580	569
735	1581	567
736	1583	564
737	1585	562
738	1586	560
739	1588	557
740	1591	556
741	1593	553
742	1594	551
743	1596	549
744	1597	546
745	1599	544
746	1601	542
747	1602	540
748	1604	537
749	1606	535
750	1608	533
751	1609	530
752	1611	528
753	1613	526
754	1615	524
755	1616	521
756	1618	519
757	1620	517
758	1622	515
759	1623	512
760	1625	510
761	1628	508
762	1630	506
763	1631	504
764	1633	501
765	1635	499
766	1636	497
767	1639	495
768	1641	492
769	1642	490
770	1645	488
771	1646	486
772	1648	484
773	1650	481
774	1652	479
775	1653	477
776	1655	475
777	1658	473
778	1659	470
779	1661	468
780	1663	466
781	1664	464
782	1666	461
783	1667	459
784	1670	457
785	1671	455
786	1673	453
787	1675	450
788	1676	448
789	1678	446
790	1680	443
791	1681	441
792	1683	439
793	1685	437
794	1687	435
795	1690	433
796	1692	431
797	1693	428
798	1695	426
799	1697	424
800	1699	422
801	1700	419
802	1702	417
803	1704	415
804	1705	413
805	1709	411
806	1711	409
807	1713	407
808	1714	404
809	1716	402
810	1718	400
811	1719	398
812	1721	395
813	1725	394
814	1727	392
815	1730	390
816	1731	387
817	1733	385
818	1734	383
819	1736	381
820	1738	379
821	1740	376
822	1742	374
823	1744	372
824	1745	370
825	1747	368
826	1749	365
827	1750	363
828	1752	361
829	1753	359
830	1755	357
831	1757	354
832	1759	352
833	1760	350
834	1763	348
835	1765	346
836	1767	344
837	1769	341
838	1770	339
839	1772	337
840	1773	335
841	1776	333
842	1778	331
843	1780	329
844	1782	326
845	1784	324
846	1786	322
847	1788	320
848	1789	318
849	1793	316
850	1794	314
851	1795	311
852	1798	309
853	1800	307
854	1802	305
855	1804	303
856	1805	301
857	1807	299
858	1808	296
859	1810	294
860	1811	292
861	1813	290
862	1814	288
863	1816	285
864	1818	283
865	1820	281
866	1821	279
867	1824	277
868	1825	275
869	1827	273
870	1828	270
871	1830	268
872	1832	266
873	1834	264
874	1836	262
875	1837	260
876	1840	258
877	1841	255
878	1843	253
879	1845	251
880	1846	249
881	1848	247
882	1849	245
883	1851	242
884	1852	240
885	1854	238
886	1855	236
887	1857	234
888	1858	232
889	1861	230
890	1863	227
891	1864	225
892	1866	223
893	1868	221
894	1869	219
895	1871	217
896	1873	215
897	1875	213
898	1876	210
899	1879	208
900	1880	206
901	1883	204
902	1884	202
903	1886	200
904	1888	198
905	1890	196
906	1892	194
907	1894	191
908	1897	189
909	1899	187
910	1904	186
911	1905	183
912	1907	181
913	1909	179
914	1913	177
915	1914	175
916	1916	173
917	1920	171
918	1922	169
919	1924	167
920	1926	165
921	1929	163
922	1930	161
923	1932	158
924	1933	156
925	1935	154
926	1937	152
927	1939	150
928	1940	148
929	1942	146
930	1944	144
931	1946	142
932	1948	139
933	1950	137
934	1951	135
935	1954	133
936	1956	131
937	1958	129
938	1962	127
939	1964	125
940	1965	123
941	1967	121
942	1972	119
943	1973	117
944	1975	114
945	1977	112
946	1978	110
947	1981	108
948	1982	106
949	1984	104
950	1985	102
951	1987	100
952	1989	98
953	1990	95
954	1993	93
955	1994	91
956	1996	89
957	1998	87
958	2000	85
959	2002	83
960	2004	81
961	2005	79
962	2007	77
963	2009	75
964	2012	72
965	2013	70
966	2015	68
967	2017	66
968	2019	64
969	2020	62
970	2022	60
971	2024	58
972	2026	56
973	2027	54
974	2029	52
975	2031	49
976	2034	47
977	2036	45
978	2037	43
979	2039	41
980	2041	39
981	2043	37
982	2044	35
983	2046	33
984	2047	31
985	2049	29
986	2052	27
987	2053	24
988	2055	22
989	2057	20
990	2059	18
991	2060	16
992	2063	14
993	2065	12
994	2066	10
995	2068	8
996	2070	6
997	2072	4
998	2073	2
999	2075	0
